Id,ItemNo,PartNumber,Name,Quantity
P01,1,400198,C型扣環<R-47>,1
P02,2,405563,滾珠軸承<60052RS>,1
P03,3,404488,油封<Ø25×Ø40×8t>,2
P04,4,400993,雙頭圓鍵<18×12×80L>,1
P05,5,205320,傳動軸,1
P06,6,207041,法蘭,1
P07,7,400935,油封<Ø65×Ø90×13t>,1
P08,8,400826,滾珠軸承<6212 Z>,1
P09,9,400916,C型扣環<R-110>,1
P10,10,205391,第一齒輪,1
P11,11,205420,第四齒輪套管<Ø70×Ø50.5×18L>,1
P12,12,200265,第四齒輪,1
P13,13,400197,C型扣環<S-50>,1
P14,14,400170,針軸承<NK 25/16>,1
P15,15,400135,滾珠軸承<6303>,1
P16,16,402591,齒輪箱襯墊<48#>,1
P17,17,407454,平行銷<Ø8×15L>,3
P18,18,400095,彈簧華司<M8>,10
P19,19,400013,窩頭螺絲<M8×1.25×25L>,10
P20,20,400591,管螺紋<3/8" PT>,1
P21,21,400008,窩頭螺絲<M6×1.0×25L>,6
P22,22,407736,滾珠軸承<6205>,2
P23,23,205394,第三齒輪,1
P24,24,400975,雙頭圓鍵<10×10×25L>,1
P25,25,205393,第二齒輪,1
P26,26,400193,C型扣環<S-30>,1
P27,27,400594,油蓋<7/8"×14UNF>,1
P28,28,205600,齒輪箱,1
